matchId,draftgap_prediction,loldraftai_prediction,actual_result,draftgap_error,loldraftai_error,better_model,champion_ids,Blue_Top,Red_Top,Blue_Jungle,Red_Jungle,Blue_Mid,Red_Mid,Blue_ADC,Red_ADC,Blue_Support,Red_Support
EUW1_7303891537,0.5933380220582694,0.7561670541763306,1,0.40666197794173065,0.24383294582366943,LoLDraftAI,"['54', '59', '157', '222', '142', '75', '76', '18', '51', '16']",Malphite,Nasus,Jarvan IV,Nidalee,Yasuo,Tristana,Jinx,Caitlyn,Zoe,Soraka
EUW1_7295545365,0.5000639448564346,0.21187834441661835,0,0.5000639448564346,0.21187834441661835,LoLDraftAI,"['58', '141', '268', '800', '25', '7', '56', '3', '81', '267']",Renekton,LeBlanc,Kayn,Nocturne,Azir,Galio,Mel,Ezreal,Morgana,Nami
EUW1_7300042464,0.4449168502677468,0.5749868750572205,0,0.4449168502677468,0.5749868750572205,DraftGap,"['48', '245', '143', '51', '412', '58', '20', '134', '222', '902']",Trundle,Renekton,Ekko,Nunu & Willump,Zyra,Syndra,Caitlyn,Jinx,Thresh,Milio
EUW1_7295418670,0.5345643196071379,0.3912714421749115,1,0.4654356803928621,0.6087285578250885,DraftGap,"['897', '200', '103', '222', '412', '98', '62', '61', '18', '143']",K'Sante,Shen,Bel'Veth,Wukong,Ahri,Orianna,Jinx,Tristana,Thresh,Zyra
EUW1_7304580099,0.5872195332971916,0.6346237659454346,1,0.41278046670280844,0.36537623405456543,LoLDraftAI,"['86', '200', '103', '90', '235', '10', '11', '777', '81', '555']",Garen,Kayle,Bel'Veth,Master Yi,Ahri,Yone,Malzahar,Ezreal,Senna,Pyke
EUW1_7303780298,0.41482902645520103,0.6419596672058105,1,0.585170973544799,0.35804033279418945,LoLDraftAI,"['799', '233', '800', '29', '53', '10', '20', '101', '222', '89']",Ambessa,Kayle,Briar,Nunu & Willump,Mel,Xerath,Twitch,Jinx,Blitzcrank,Leona
EUW1_7303056520,0.4644641641264604,0.4550151824951172,0,0.4644641641264604,0.4550151824951172,LoLDraftAI,"['126', '876', '112', '81', '412', '86', '120', '103', '145', '43']",Jayce,Garen,Lillia,Hecarim,Viktor,Ahri,Ezreal,Kai'Sa,Thresh,Karma
EUW1_7296039150,0.4935386498507157,0.5876762270927429,1,0.5064613501492843,0.4123237729072571,LoLDraftAI,"['240', '32', '134', '51', '910', '77', '245', '84', '42', '117']",Kled,Udyr,Amumu,Ekko,Syndra,Akali,Caitlyn,Corki,Hwei,Lulu
EUW1_7296900437,0.5952646219802212,0.6480778455734253,0,0.5952646219802212,0.6480778455734253,DraftGap,"['114', '32', '112', '21', '60', '31', '234', '41', '523', '43']",Fiora,Cho'Gath,Amumu,Viego,Viktor,Gangplank,Miss Fortune,Aphelios,Elise,Karma
EUW1_7298592497,0.5140978569030582,0.4953911006450653,0,0.5140978569030582,0.4953911006450653,LoLDraftAI,"['126', '131', '3', '119', '555', '800', '62', '134', '42', '412']",Jayce,Mel,Diana,Wukong,Galio,Syndra,Draven,Corki,Pyke,Thresh
EUW1_7295752883,0.5784489992803317,0.532602071762085,0,0.5784489992803317,0.532602071762085,LoLDraftAI,"['266', '30', '800', '119', '111', '92', '104', '157', '51', '60']",Aatrox,Riven,Karthus,Graves,Mel,Yasuo,Draven,Caitlyn,Nautilus,Elise
EUW1_7295459446,0.54117522376809,0.37273672223091125,0,0.54117522376809,0.37273672223091125,LoLDraftAI,"['27', '56', '800', '145', '526', '13', '60', '910', '119', '143']",Singed,Ryze,Nocturne,Elise,Mel,Hwei,Kai'Sa,Draven,Rell,Zyra
EUW1_7304537702,0.5283050467948036,0.5344870090484619,0,0.5283050467948036,0.5344870090484619,DraftGap,"['516', '80', '99', '119', '555', '31', '107', '101', '145', '111']",Ornn,Cho'Gath,Pantheon,Rengar,Lux,Xerath,Draven,Kai'Sa,Pyke,Nautilus
EUW1_7303998713,0.3848998906014315,0.3201456665992737,0,0.3848998906014315,0.3201456665992737,LoLDraftAI,"['31', '141', '90', '145', '267', '875', '9', '55', '222', '40']",Cho'Gath,Sett,Kayn,Fiddlesticks,Malzahar,Katarina,Kai'Sa,Jinx,Nami,Janna
EUW1_7304271217,0.4939106761581334,0.48803824186325073,1,0.5060893238418667,0.5119617581367493,DraftGap,"['875', '64', '8', '901', '40', '133', '80', '103', '145', '89']",Sett,Quinn,Lee Sin,Pantheon,Vladimir,Ahri,Smolder,Kai'Sa,Janna,Leona
EUW1_7299008026,0.5121881990720144,0.6919076442718506,1,0.4878118009279856,0.3080923557281494,LoLDraftAI,"['777', '33', '893', '63', '267', '92', '106', '142', '222', '526']",Yone,Riven,Rammus,Volibear,Aurora,Zoe,Brand,Jinx,Nami,Rell
EUW1_7302948026,0.4298623805661119,0.5945497155189514,0,0.4298623805661119,0.5945497155189514,DraftGap,"['897', '131', '157', '523', '12', '799', '121', '79', '21', '526']",K'Sante,Ambessa,Diana,Kha'Zix,Yasuo,Gragas,Aphelios,Miss Fortune,Alistar,Rell
EUW1_7297543202,0.5295470692204272,0.6821119785308838,1,0.47045293077957284,0.3178880214691162,LoLDraftAI,"['122', '62', '105', '147', '50', '150', '48', '8', '51', '143']",Darius,Gnar,Wukong,Trundle,Fizz,Vladimir,Seraphine,Caitlyn,Swain,Zyra
EUW1_7302843838,0.5182374353054494,0.2426784634590149,0,0.5182374353054494,0.2426784634590149,LoLDraftAI,"['150', '131', '799', '523', '267', '79', '20', '157', '67', '235']",Gnar,Gragas,Diana,Nunu & Willump,Ambessa,Yasuo,Aphelios,Vayne,Nami,Senna
EUW1_7303811197,0.43808326340420123,0.45950108766555786,1,0.5619167365957988,0.5404989123344421,LoLDraftAI,"['164', '141', '910', '29', '902', '24', '121', '91', '112', '267']",Camille,Jax,Kayn,Kha'Zix,Hwei,Talon,Twitch,Viktor,Milio,Nami
EUW1_7295761425,0.500276109313138,0.4295460879802704,0,0.500276109313138,0.4295460879802704,LoLDraftAI,"['54', '887', '112', '429', '43', '17', '28', '38', '222', '25']",Malphite,Teemo,Gwen,Evelynn,Viktor,Kassadin,Kalista,Jinx,Karma,Morgana
EUW1_7295412388,0.648847308515676,0.40885457396507263,0,0.648847308515676,0.40885457396507263,LoLDraftAI,"['86', '28', '8', '21', '432', '62', '234', '126', '15', '99']",Garen,Wukong,Evelynn,Viego,Vladimir,Jayce,Miss Fortune,Sivir,Bard,Lux
EUW1_7295535402,0.620865413366927,0.682418942451477,1,0.379134586633073,0.31758105754852295,LoLDraftAI,"['875', '887', '26', '81', '12', '68', '876', '41', '360', '111']",Sett,Rumble,Gwen,Lillia,Zilean,Gangplank,Ezreal,Samira,Alistar,Nautilus
EUW1_7296404434,0.5659828512097976,0.5754321217536926,0,0.5659828512097976,0.5754321217536926,DraftGap,"['19', '72', '90', '901', '267', '86', '154', '84', '15', '497']",Warwick,Garen,Skarner,Zac,Malzahar,Akali,Smolder,Sivir,Nami,Rakan
EUW1_7295351925,0.42195022495135276,0.37236660718917847,1,0.5780497750486473,0.6276333928108215,DraftGap,"['893', '35', '134', '51', '53', '86', '62', '133', '81', '43']",Aurora,Garen,Shaco,Wukong,Syndra,Quinn,Caitlyn,Ezreal,Blitzcrank,Karma
EUW1_7296216434,0.4454562509872669,0.6133424639701843,1,0.5545437490127332,0.3866575360298157,LoLDraftAI,"['31', '254', '99', '222', '161', '897', '91', '103', '51', '412']",Cho'Gath,K'Sante,Vi,Talon,Lux,Ahri,Jinx,Caitlyn,Vel'Koz,Thresh
EUW1_7296449664,0.27251671403243255,0.29352307319641113,1,0.7274832859675675,0.7064769268035889,LoLDraftAI,"['35', '234', '800', '18', '54', '9', '11', '31', '81', '12']",Shaco,Fiddlesticks,Viego,Master Yi,Mel,Cho'Gath,Tristana,Ezreal,Malphite,Alistar
EUW1_7296235243,0.5146658153261208,0.4303748309612274,1,0.48533418467387923,0.5696251690387726,DraftGap,"['39', '234', '517', '51', '37', '72', '91', '127', '15', '57']",Irelia,Skarner,Viego,Talon,Sylas,Lissandra,Caitlyn,Sivir,Sona,Maokai
EUW1_7295964964,0.4160764609764438,0.3424994945526123,1,0.5839235390235562,0.6575005054473877,DraftGap,"['6', '35', '61', '145', '526', '2', '131', '112', '498', '12']",Urgot,Olaf,Shaco,Diana,Orianna,Viktor,Kai'Sa,Xayah,Rell,Alistar
EUW1_7296163497,0.43455591117928866,0.27473583817481995,1,0.5654440888207113,0.72526416182518,DraftGap,"['166', '234', '517', '147', '40', '24', '131', '246', '157', '60']",Akshan,Jax,Viego,Diana,Sylas,Qiyana,Seraphine,Yasuo,Janna,Elise
EUW1_7296280704,0.4693469281560225,0.37370193004608154,0,0.4693469281560225,0.37370193004608154,LoLDraftAI,"['133', '5', '910', '360', '89', '107', '9', '127', '222', '412']",Quinn,Rengar,Xin Zhao,Fiddlesticks,Hwei,Lissandra,Samira,Jinx,Leona,Thresh
EUW1_7296428269,0.5627801085253857,0.48180243372917175,0,0.5627801085253857,0.48180243372917175,LoLDraftAI,"['133', '35', '101', '42', '201', '17', '72', '910', '119', '161']",Quinn,Teemo,Shaco,Skarner,Xerath,Hwei,Corki,Draven,Braum,Vel'Koz
EUW1_7295606710,0.41401935263762357,0.3775440752506256,1,0.5859806473623764,0.6224559247493744,DraftGap,"['150', '876', '50', '202', '63', '58', '200', '134', '99', '43']",Gnar,Renekton,Lillia,Bel'Veth,Swain,Syndra,Jhin,Lux,Brand,Karma
EUW1_7296313727,0.4155074400273731,0.4120118021965027,1,0.584492559972627,0.5879881978034973,DraftGap,"['106', '131', '910', '29', '16', '23', '5', '134', '42', '117']",Volibear,Tryndamere,Diana,Xin Zhao,Hwei,Syndra,Twitch,Corki,Soraka,Lulu
EUW1_7296137829,0.5403059003623235,0.46122270822525024,1,0.4596940996376765,0.5387772917747498,DraftGap,"['86', '141', '910', '29', '161', '8', '11', '800', '145', '143']",Garen,Vladimir,Kayn,Master Yi,Hwei,Mel,Twitch,Kai'Sa,Vel'Koz,Zyra
